Pos,No,Runner,Club,Category,Time
1,171,Lewis Rodgers,Fife AC,MS,00:42:26
2,7,Nick Bennett,Dundee Road Runners,MS,00:44:08
3,194,David Webster,Dundee Road Runners,MS,00:44:15
4,75,Jamie Lessels,Fife AC,MS,00:44:48
5,30,Ewan Duthie,Dundee Road Runners,MS,00:44:58
6,93,Daniel Monaghan,PH Racing,MS,00:46:57
7,188,Ruan Van Rensburg,Fife AC,MS,00:47:30
8,168,Michael Richardson,Dundee Road Runners,MS,00:47:38
9,198,Michael Rimicans,Irvine Running Club,MS,00:47:47
10,192,Philip Waring,PH Racing,MS,00:47:50
11,52,Adam Hart,Dundee Road Runners,MS,00:48:19
12,59,Ben Hukins,PH Racing,M40,00:48:32
13,21,Elliot Collins,Perth Road Runners,MS,00:48:45
14,29,Glenn Barclay,Fife AC,MS,00:49:30
15,41,Peter Gibson,PH Racing,MS,00:50:09
16,11,Evan Bowers,Dundee Road Runners,MS,00:50:19
17,175,Michael Sanderson,Fife AC,MS,00:50:21
18,56,Mike Herron,Dundee Hawkhill Harriers,M40,00:50:44
19,1,David Aitken,Dundee Road Runners,M50,00:51:05
20,155,Matt Newton,Kinross Road Runners,M50,00:51:15
21,77,Mairi Littleson,Dundee Road Runners,FS,00:51:27
22,19,Roger Clark,PH Racing,M50,00:51:37
23,2,Kevin Amos,Central Athletics Club,MS,00:52:36
24,165,Tom Rainey,Anster Haddies,M40,00:52:37
25,181,James Squires,Pitreavie AAC,M40,00:52:54
26,45,Stuart Green,PH Racing,M40,00:52:57
27,142,Alison McNeilly,Dundee Road Runners,F40,00:53:04
28,80,Kristin Lownie,PH Racing,F40,00:53:20
29,110,James Hall,Fife AC,M40,00:53:30
30,28,Janet Dickson,Fife AC,F50,00:54:19
31,140,Mark McLean,PH Racing,M50,00:54:24
32,176,Scott Seefeldt,Lomond Hill Runners,M40,00:54:54
33,71,Timothy Kinnaird,Fife AC,M40,00:54:55
34,57,Lee Holland,Carnegie Harriers,M50,00:55:05
35,182,Jamie Stewart,Dundee Road Runners,M40,00:55:10
36,180,Kevin Spowart,Carnegie Harriers,M40,00:55:22
37,151,Alan Murray,Carnegie Harriers,M50,00:55:33
38,10,Romain Borgeal,Dundee Hawkhill Harriers,MS,00:55:42
39,148,David Mudie,Kinross Road Runners,M40,00:56:28
40,166,Logan Reilly,Anster Haddies,MU20,00:56:35
41,143,Julie Menzies,PH Racing,F50,00:56:36
42,16,Colin Campbell,RunSum Running Kirkcaldy,M40,00:57:09
43,27,Barry Davie,Carnegie Harriers,M40,00:57:42
44,73,Paul Leishman,Unatt.,M50,00:58:26
45,72,Nils Krichel,Carnegie Harriers,M40,00:58:34
46,58,Dominic Hughes,Dundee Road Runners,M40,00:59:10
47,66,David Johnston,Recreational Runners,M50,00:59:14
48,82,Wullie Haldane,Unatt.,M40,00:59:32
49,106,Tony Martin,Fife AC,M70,00:59:54
50,146,Michael Mitchell,Dundee Road Runners,M50,01:00:31
51,63,John Hynd,Carnegie Harriers,M60,01:00:59
52,14,Stuart Buckett,Fife AC,M50,01:01:28
53,134,Beth Mariecia McCrickard,Unatt.,FU20,01:01:53
54,48,Joy Gudgin,Carnegie Harriers,F60,01:02:17
55,61,Ross Hunter,Carnegie Harriers,MS,01:02:26
56,189,Gerhard Van Zyl,Fife AC,M50,01:02:42
57,136,Ronan McDermott,Strathearn Harriers,M40,01:02:49
58,179,Arron Small,Dundee Road Runners,MS,01:02:58
59,170,Iain Rodger,Unatt.,M40,01:03:04
60,162,Ally Proven,Pitreavie AAC,M40,01:03:11
61,23,Ken Cook,Pitreavie AAC,M50,01:03:33
62,12,Charlotte Briggs,Carnegie Harriers,FS,01:04:02
63,33,Malcolm Forbes,Dundee Road Runners,M60,01:04:15
64,37,Will Gage,Anster Haddies,M50,01:04:16
65,172,Robert Rogerson,Kirkintilloch Olympians,M60,01:04:24
66,153,John Myles,Strathearn Harriers,M40,01:04:35
67,195,Sarah Wellcoat,Carnegie Harriers,FS,01:04:37
68,174,Michael Royden,Dundee Road Runners,M50,01:04:45
69,13,Matt Buck,Dundee Road Runners,MS,01:04:47
70,53,Debz Way Hay,Anster Haddies,F50,01:04:48
71,67,Martin Kay,Pitreavie AAC,M40,01:04:52
72,15,Isobel Burnett,Carnegie Harriers,F60,01:05:19
73,199,Laura Darling-Brackenridge,Dundee Road Runners,F40,01:05:26
74,150,Alison Murray,Carnegie Harriers,F50,01:05:34
75,69,Jim Kelly,Lonely Goat RC,M60,01:05:47
76,4,Keiron Baillie,East Fife Triathlon Club,M50,01:06:03
77,191,Nick Wade,Anster Haddies,M50,01:06:14
78,31,Duncan Edward,Dundee Road Runners,M40,01:06:20
79,42,Charlene Junkin,Dundee Road Runners,FS,01:06:35
80,5,David Baird,Dundee Road Runners,M40,01:06:56
81,26,Garry Cuthbertson,Pitreavie AAC,M50,01:07:06
82,36,Orla Gage,Anster Haddies,FU20,01:07:19
83,154,Thomas Neilson,Pitreavie AAC,M40,01:07:35
84,49,Anne Halley Ben-Shabat,Pitreavie AAC,F60,01:07:51
85,187,John Tierney,Dundee Road Runners,M50,01:08:06
86,62,Scott Hutchison,STAART,MS,01:08:21
87,22,Timothy Compston,Pitreavie AAC,M50,01:08:42
88,55,Lynne Herd,Anster Haddies,F40,01:08:44
89,60,Derek Hunter,Carnegie Harriers,M50,01:08:49
90,18,Gordon Christie,Leven Las Vegas RC,M50,01:09:00
91,197,Freya Drummond,Tooting Runners,FS,01:09:04
92,200,Benjamin St John Taylor,Unatt.,MS,01:09:43
93,164,David Pugh,Unatt.,M40,01:10:06
94,96,Phil Mann,Unatt.,M40,01:10:10
95,138,Alasdair McGill,Perth Road Runners,M50,01:10:48
96,173,Martin Rollo,Dundee Road Runners,M60,01:10:54
97,193,Nicola Watson,Strathearn Harriers,F50,01:11:06
98,167,Graham Rena,Dundee Road Runners,M50,01:11:22
99,149,Janet Murray,Falkirk Victoria Harriers,F40,01:11:46
100,43,Clare Graham,PH Racing,F50,01:11:52
101,137,Kenny McDonald,Pitreavie AAC,M40,01:11:53
102,74,Catherine Leonard,HKLRRC,F50,01:11:58
103,159,Pamela Pattison,Pitreavie AAC,F70,01:12:31
104,9,Campbell Blair,Pitreavie AAC,M50,01:13:35
105,40,Keith Gelly,Dundee Road Runners,M50,01:13:43
106,84,Sarah Lowry,Unatt.,F40,01:13:49
107,161,Louise Provan,Falkland Trail Runners,F40,01:14:25
108,70,Gail King,Carnegie Harriers,F50,01:14:41
109,156,Kevin Nicolson,Unatt.,M40,01:15:01
110,145,Robert Milton,PH Racing,M60,01:17:53
111,147,Jennifer Morris,Fife AC,F60,01:17:55
112,157,Angie Parkin,Carnegie Harriers,F50,01:18:06
113,186,Claire Thornton-Granville,Dundee Road Runners,F40,01:19:28
114,20,Richard Cleary,Dundee Road Runners,M60,01:19:28
115,34,Karen Forsyth,Carnegie Harriers,F40,01:20:23
116,44,Darren Graham,Unatt.,M40,01:21:42
117,185,Amy Tavendale,Dundee Road Runners,F40,01:22:20
118,135,Kath McCrorie,Carnegie Harriers,F50,01:22:58
119,35,Lucy Fyffe,Dundee Road Runners,F50,01:23:49
120,127,Kenneth McAllister,Pitreavie AAC,M60,01:23:52
121,39,Alan Gardener,Falkland Trail Runners,M50,01:24:43
122,169,Peter Ritchie,Perth Road Runners,M60,01:24:56
123,87,Iain Luke,Dundee Road Runners,M70,01:25:01
124,79,Eilidh Lockhart,Wee County Harriers,FS,01:25:56
125,88,Shelby Lynch,Carnegie Harriers,FS,01:25:56
126,160,Laura Powell,Wee County Harriers,F40,01:26:07
127,8,Jane Binnie,Wee County Harriers,F70,01:26:08
128,123,Clare Martin,Strathearn Harriers,F60,01:29:22
129,163,Debbie Proven,Pitreavie AAC,F40,01:29:50
130,68,Fiona Kelly,Wee County Harriers,FS,01:30:49
131,178,Steven Slade,Unatt.,M50,01:32:09
132,25,Debbie Cooper,Pitreavie AAC,F60,01:33:30
133,54,Ewan Heeles,Pitreavie AAC,M40,01:33:33
134,3,Douglas Anderson,Annan & District AC,M60,01:38:05
135,91,Mary Mallia,Unatt.,F60,01:41:03
