Pos,No,Runner,Club,Category,Time
1,169,Andrew Wright,PH Racing,M40,00:22:00
2,168,Alastair Wood,Unatt.,M70,00:22:05
3,167,Alan Wise,Kirkcaldy Wizards,MS,00:22:10
4,166,Sharron Wilson,Kirkcaldy Wizards,F50,00:22:15
5,165,Lewis Whittingham,Fife AC,MS,00:22:20
6,164,Bryan Whittingham,Fife AC,M40,00:22:25
7,163,Iain Wheel,Falkland Trail Runners,MS,00:22:30
8,162,Abigail Wheel,Falkland Trail Runners,FS,00:22:35
9,161,Mark Western,PH Racing,M50,00:22:40
10,160,Mary Western,PH Racing,F60,00:22:45
11,159,Lucy Ward,Perth Strathtay Harriers,FU20,00:22:50
12,158,Richard Ward,Perth Road Runners,M50,00:22:55
13,157,Fiona Walker,Fife AC,F50,00:23:00
14,156,Karel Vesely,Edinburgh Athletics Club,MS,00:23:05
15,155,Yulian Vasilev,Fife AC,MS,00:23:10
16,154,Gerhard Van Zyl,Fife AC,M40,00:23:15
17,153,Anonymous User,PH Racing,MS,00:23:20
18,152,Anonymous User,Dundee Hawkhill Harriers,FU20,00:23:25
19,151,Anonymous User2,Falkland Trail Runners,MS,00:23:30
20,150,Anonymous User1,Falkland Trail Runners,FS,00:23:35
21,149,Anonymous User,Pitreavie AAC,FS,00:23:40
22,148,Anonymous User,Unatt.,M40,00:23:45
23,147,Anonymous User,Orkney Athletic Club,FS,00:23:50
24,146,Shona Turner,Kirkcaldy Wizards,F50,00:23:55
25,145,Verek Trcka,Unatt.,M40,00:24:00
26,144,Susan Thores,Kirkcaldy Wizards,F60,00:24:05
27,143,Murray Thomson,PH Racing,M50,00:24:10
28,142,Craig Thomson,Kirkcaldy Wizards,M40,00:24:15
29,141,Andrew Taylor,Shettleston Harriers,MS,00:24:20
30,140,Carter Taylor,Fife AC,MS,00:24:25
31,139,Kelly Taylor,Bellahouston Road Runners,FS,00:24:30
32,138,Morag Taggart,Dundee Road Runners,F60,00:24:35
33,137,Eric Stenhouse,Unatt.,M50,00:24:40
34,136,Sophie Smith,Vale Royal AC,FS,00:24:45
35,135,Arron Small,Dundee Road Runners,MS,00:24:50
36,134,Keirra Small,Dundee Road Runners,FS,00:24:55
37,133,Stuart Simpson,RunSum Running Kirkcaldy,M40,00:25:00
38,132,David Shepherd,Fife AC,M60,00:25:05
39,131,Gary Shaw,Anster Haddies Running Club,M40,00:25:10
40,130,Calum Scott,Cumbernauld Amateur Athletics Club,MS,00:25:15
41,129,Jocelyn Scott,Fife AC,F70,00:25:20
42,128,Martin Rollo,Dundee Road Runners,M50,00:25:25
43,127,Lewis Rodgers,Fife AC,MS,00:25:30
44,126,Raph Robeson,University of St Andrews Triathlon Club,FS,00:25:35
45,125,Hilary Ritchie,Fife AC,F60,00:25:40
46,124,Michael Richardson,Dundee Road Runners,MS,00:25:45
47,123,Karen Richards,Fife AC,F50,00:25:50
48,122,Helen Reid,Kirkcaldy Wizards,F60,00:25:55
49,121,Leanne Reid,Kirkcaldy Wizards,F40,00:26:00
50,120,Logan Rees,Fife AC,MS,00:26:05
51,119,Tom Rainey,Anster Haddies Running Club,M40,00:26:10
52,118,Gary Pirie,PH Racing,M50,00:26:15
53,117,Gerard Pelegri,Shettleston Harriers,MS,00:26:20
54,116,Jane Oliver,Deeside Runners,F60,00:26:25
55,115,David Oliver,Deeside Runners,M60,00:26:30
56,114,Craig O'Donnell,Dunbar Running Club,M40,00:26:35
57,113,Ed Norton,PH Racing,M70,00:26:40
58,112,Dave Morton,PH Racing,M40,00:26:45
