Pos,No,Runner,Club,Category,Time
1,167,Jamie Lessels,Fife AC,MS,00:32:54
2,168,Thomas Robertson,Fife AC,MU20,00:33:19
3,163,David Webster,Dundee Road Runners,MS,00:33:30
4,161,Ruan Van Rensburg,Fife AC,MS,00:34:03
5,110,Sam Fernando,Fife AC,MS,00:34:13
6,149,Patrick O'Hare,Fife AC,MS,00:34:14
7,123,Adam Hart,Dundee Road Runners,MS,00:35:11
8,175,Michael Rimicans,Fife AC,MS,00:35:53
9,119,Tom Gough,Fife AC,MS,00:36:34
10,153,Alex Reily,Kinross Road Runners,MS,00:38:09
11,102,Simon Anetts,Fife AC,MS,00:38:29
12,158,Joey Smith,Fife AC,MU20,00:38:38
13,128,Eliza Konig,Fife AC,FU20,00:39:14
14,174,Tom Rainey,Anster Haddies,M40,00:39:25
15,101,David Aitken,Dundee Road Runners,M50,00:39:27
16,166,Jenny Gilbertson,Unatt.,FS,00:39:34
17,160,Rhona Van Rensburg,Fife AC,F50,00:40:23
18,183,Ross Young,Anster Haddies,MS,00:41:26
19,143,Stephen McQuistin,Anster Haddies,MS,00:42:16
20,172,Ciaron Collins,Dundee Hawkhill Harriers,M50,00:42:27
21,181,Michael Mitchell,Dundee Road Runners,M50,00:42:32
22,152,Michael Reilly,Anster Haddies,M50,00:43:00
23,105,David Burgess,Anster Haddies,M50,00:43:07
24,129,Mairi Littleson,Dundee Road Runners,FS,00:44:21
25,180,Orla Gage,Anster Haddies,FU20,00:44:31
26,124,Scott Henderson,Dundee Road Runners,MS,00:44:42
27,127,James Kelman,Fife AC,M60,00:45:06
28,148,Jane O'Donnell,Dundee Road Runners,F40,00:45:10
29,164,Christine Wilson,Fife AC,F40,00:45:14
30,109,Mark Feely,Anster Allsorts,M50,00:45:40
31,157,Dave Shepherd,Wormit Runners,M60,00:46:15
32,154,Clive Roberts,Fife AC,M60,00:46:20
33,179,Will Gage,Anster Haddies,M50,00:46:30
34,150,David Place,Fife AC,M60,00:46:43
35,135,John MacPherson,Fife AC,M40,00:47:00
36,136,Vince MacPherson,Fife AC,M50,00:47:02
37,182,Philip Suttie,Falkland Trail Runners,M40,00:47:19
38,169,Graham Rena,Dundee Road Runners,M50,00:47:45
39,141,Paul McGarrity,Dundee Hawkhill Harriers,M40,00:48:02
40,165,Tania Wilson,Falkland Trail Runners,F60,00:48:11
41,173,David Dunleavey,Stratheden,M60,00:48:23
42,108,Daniel Dutton,Dundee Road Runners,MS,00:48:25
43,147,Christine Myerscough,Kinross Road Runners,F60,00:48:27
44,177,Stuart Goodfellow,Kirkcaldy Wizards,M50,00:48:37
45,144,Neill Mitchell,Fife AC,M50,00:48:49
46,107,Laura Darling-Brackenridge,Dundee Road Runners,F40,00:49:03
47,142,Phil McLaughlin,Falkland Trail Runners,M50,00:49:06
48,138,Margaret Martin,Fife AC,F70,00:49:12
49,103,David Baird,Dundee Road Runners,M40,00:49:15
50,115,Alison Gelly,Dundee Road Runners,F60,00:49:40
51,134,Allison MacPherson,Falkland Trail Runners,F40,00:49:41
52,139,Catherine Matthews,Dundee Hawkhill Harriers,F50,00:49:54
53,155,Martin Rollo,Dundee Road Runners,M60,00:49:56
54,151,Alex Rain,Fife AC,MS,00:50:17
55,137,Rhonda Manning,Dundee Hawkhill Harriers,F50,00:50:20
56,178,Magnus Niven,Unatt.,MU20,00:50:23
57,159,Lucia Tisnes,Dundee Road Runners,F40,00:51:42
58,120,Jeff Gunnell,Unatt.,M70,00:51:48
59,112,George Findlay,Anster Haddies,M60,00:51:54
60,132,Danielle MacDermid,Dundee Hawkhill Harriers,FS,00:52:24
61,104,Innes Bracegirdle,Fife AC,F70,00:53:23
62,171,John Donnelly,Lomonds of Fife,M60,00:53:42
63,116,Keith Gelly,Dundee Road Runners,M50,00:54:08
64,131,Zach Loughlin,Unatt.,MS,00:54:27
65,176,Freya Gibbon,Unatt.,FS,00:54:28
66,118,Bill Gillan,Recreational Runners,M70,00:56:54
67,146,John Myerscough,Kinross Road Runners,M70,00:59:22
68,111,Fiona Findlay,Anster Haddies,FS,01:01:02
69,170,Chris Payne,Kirkcaldy Wizards,MS,01:03:33
70,140,Pauline McAdam,Kinross Road Runners,F70,01:04:05
71,184,June Balgowan,Falkland Trail Runners,F50,01:06:47
72,130,Hannah Lopez,Kinross Road Runners,FS,01:10:06
73,145,Michelle Murray,Kinross Road Runners,F50,01:10:26
74,133,Linda MacEachen,Kinross Road Runners,F70,01:13:32
75,114,Sandra Gardener,Falkland Trail Runners,F50,01:18:26
