Pos,No,Runner,Club,Category,Time
1,16,Logan Rees,Fife AC,MS,00:27:29
2,17,Tom Harris,Highland Hill Runners,MS,00:29:19
3,15,Ruan van Rensburg,Fife AC,MS,00:29:41
4,22,Jamie Lessels,Fife AC,MS,00:31:08
5,44,Tom Gough,Fife AC,MS,00:31:57
6,14,David Cole,Dundee Road Runners,M40,00:33:01
7,8,Matt Newton,Kinross Road Runners,M50,00:33:20
8,42,James Hall,Fife AC,M40,00:34:41
9,7,Alison McGill,Kinross Road Runners,F40,00:34:46
10,48,Eliza Konig,Fife AC,FU20,00:35:12
11,5,Stuart Buckett,Fife AC,M50,00:35:28
12,4,Timothy Kinnaird,Fife AC,M40,00:35:58
13,38,Stuart Niven,Unatt.,M40,00:36:15
14,40,Paul Stone,East Fife Triathlon Club,MS,00:36:23
15,45,Gary Paterson,East Fife Triathlon Club,M50,00:36:27
16,9,David Burgess,Anster Haddies,M50,00:37:17
17,30,Owen Wilkinson,Carnethy HRC,MS,00:37:25
18,55,Ross Emslie,Unatt.,MS,00:37:35
19,34,Rashmi Shah,Kinross Road Runners,M50,00:38:10
20,31,Andrew Duff,Forfar Road Runners,MS,00:38:23
21,18,Gareth Brown,Unatt.,M50,00:38:28
22,41,Christopher McKiddie,Dunbar AC,M40,00:38:39
23,11,Eck Anderson,Anster Haddies,M40,00:38:43
24,3,Isla Kinnaird,Fife AC,FU20,00:38:45
25,192,Clive Roberts,Fife AC,M60,00:38:48
26,23,Ali Black,Carnethy HRC,M40,00:38:54
27,19,Stuart Brodie,Ochil Hill Runners,M40,00:39:38
28,28,John MacPherson,Fife AC,M40,00:39:42
29,53,Craig Roberts,Unatt.,MS,00:40:02
30,37,Mhairi McInnes,Deeside Runners,FS,00:40:21
31,24,Neil Millar,Fife AC,M50,00:40:31
32,182,Peter Warland,Forfar Road Runners,M60,00:40:45
33,32,Fay Duff,Forfar Road Runners,FS,00:40:53
34,185,Lyle Allan,Falkland Trail Runners,M60,00:40:56
35,190,Dave Shepherd,Wormit Runners,M60,00:41:04
36,1,Arman Buta,Kirkcaldy Wizards,MS,00:41:09
37,29,Rosy Shepherd,Carnethy HRC,FS,00:41:11
38,39,Victoria Stone,East Fife Triathlon Club,FS,00:41:13
39,21,Daniel Clarke,Ochil Hill Runners,M40,00:41:20
40,52,Matt Sweeney,Ochil Hill Runners,M40,00:41:28
41,46,Marti Penacchio,Unatt.,MU20,00:41:40
42,13,Will Gage,Anster Haddies,M50,00:41:42
43,25,Philip Suttie,Falkland Trail Runners,M40,00:42:07
44,188,Tania Wilson,Falkland Trail Runners,F60,00:42:44
45,26,Phil McLaughlan,Falkland Trail Runners,M50,00:42:55
46,56,Chris Sturrock,Running Machines,MS,00:43:03
47,184,Gordon Pryde,Lomond Hill Runners,M60,00:43:39
48,187,John Hendry,Cumbernauld Harriers,M60,00:43:46
49,183,Christine Myerscough,Kinross Road Runners,F60,00:43:48
50,12,Sharon Brown,Anster Haddies,F40,00:44:14
51,50,Allison MacPherson,Falkland Trail Runners,F40,00:44:43
52,186,Margaret Martin,Fife AC,F60,00:44:58
53,10,Yvonne Dehn,Anster Haddies,FS,00:45:03
54,47,Mercè Torres,Unatt.,F40,00:45:09
55,51,Lee Cessford,Falkland Trail Runners,M50,00:45:51
56,20,John MacEwan,Ochil Hill Runners,M50,00:46:12
57,288,Alastair Paul,Portobello,M70,00:46:25
58,6,David Mackay,Forfar Road Runners,M50,00:46:32
59,36,Alexander Rain,Unatt.,MS,00:46:34
60,287,Brian Howie,Carnethy HRC,M70,00:47:05
61,191,Innes Bracegirdle,Fife AC,F70,00:47:15
62,54,Adrian Wood,East Fife Triathlon Club,M50,00:47:29
63,35,Freya Gibbon,Unatt.,FS,00:49:43
64,2,Martin Towey,Unatt.,M50,00:51:58
65,286,Ron Milne,Forfar Road Runners,M70,00:52:10
66,285,John Myerscough,Kinross Road Runners,M70,00:53:10
67,27,Gemma Crawford,Falkland Trail Runners,FS,00:54:08
68,43,Catherine Leonard,HKLRRC,F50,00:54:34
69,189,David Pease,Falkland Trail Runners,M60,00:56:20
70,49,June Balgowan,Falkland Trail Runners,F50,00:57:54
71,33,John McIntyre Snr,Fife AC,M50,01:04:03
