Pos,No,Runner,Club,Category,Time
1,181,David Webster,Dundee Road Runners,MS,00:25:53
2,108,Mark Bell,Dundee Road Runners,M40,00:26:33
3,127,Tom Gough,Fife AC,MS,00:27:06
4,131,Adam Hart,Dundee Road Runners,MS,00:27:25
5,103,Simon Anetts,Fife AC,MS,00:27:42
6,159,Gary Pirie,PH Racing,M50,00:28:16
7,98,Ewan Lumsden,Anster Haddies,M40,00:28:19
8,101,David Aitken,Dundee Road Runners,M50,00:28:48
9,189,Jamie Anderson,Anster Haddies,MU20,00:29:04
10,142,Vince MacPherson,Fife AC,M40,00:29:08
11,96,Dave Clark,Falkland Trail Runners,M50,00:29:11
12,200,Rory Sandilands,Fife AC,M40,00:29:16
13,162,Tom Rainey,Anster Haddies,M40,00:29:28
14,137,Mairi Littleson,Dundee Road Runners,FS,00:29:39
15,178,Rhona Van Rensburg,Fife AC,F50,00:29:54
16,171,Jason Sharp,Unatt.,M40,00:30:06
17,164,Michael Reilly,Anster Haddies,M40,00:30:15
18,179,Hendrik Van Rensburg,Fife AC,M50,00:30:17
19,154,Michael Mitchell,Dundee Road Runners,M50,00:30:19
20,180,Iain Wallace,PH Racing,M50,00:30:25
21,184,Chris Wilson,Unatt.,M40,00:30:28
22,166,Willie Rennie,PH Racing,M50,00:30:33
23,130,Andy Harley,Fife AC,M40,00:30:43
24,150,Alison McNeilly,Dundee Road Runners,F40,00:30:51
25,183,Dominic Williams,Dundee Road Runners,MS,00:31:00
26,186,Heather Anderson,Fife AC,F40,00:31:10
27,129,Paul Harkins,Fife AC,M40,00:31:13
28,160,Alex Priestley,Falkland Trail Runners,MS,00:31:15
29,117,Ailsa Cruickshanks,Fife AC,FS,00:31:17
30,111,David Burgess,Anster Haddies,M50,00:31:22
31,112,Fiona Canavan,Dundee Road Runners,FS,00:31:56
32,173,Arron Small,Dundee Road Runners,MS,00:32:07
33,145,Tony Martin,Falkland Trail Runners,M70,00:32:17
34,107,Olivia Batho-Samblás,Dundee Road Runners,FS,00:32:18
35,172,Gary Shaw,Anster Haddies,M40,00:32:20
36,102,Eric Anderson,Anster Haddies,M50,00:32:48
37,104,David Baird,Dundee Road Runners,MS,00:33:05
38,199,Jennifer Massie,Dundee Road Runners,F40,00:33:17
39,157,Jane O'Donnell,Dundee Road Runners,F40,00:33:33
40,97,Lynne Herd,Anster Haddies,F40,00:33:46
41,140,John MacPherson,Fife AC,M40,00:34:02
42,188,Hilary Ritchie,Fife AC,F60,00:34:15
43,132,Dominic Hughes,Dundee Road Runners,MS,00:34:28
44,123,Orla Gage,Anster Haddies,FU20,00:34:32
45,122,Will Gage,Anster Haddies,M50,00:34:36
46,115,Emanuel Corduneanu,Dundee Road Runners,MS,00:34:41
47,99,Philip Suttie,Falkland Trail Runners,M40,00:34:53
48,134,John Kinninmonth,RunSum Running Kirkcaldy,M60,00:35:02
49,118,Jock Dryburgh,RunSum Running Kirkcaldy,M60,00:35:03
50,94,Yvonne Dehn,Anster Haddies,FS,00:35:07
51,147,Ross McArthur,Falkland Trail Runners,MS,00:35:09
52,161,Gordon Pryde,Lomond Hill Runners,M60,00:35:14
53,198,Fiona Callaghan,Dundee Road Runners,FS,00:35:33
54,141,Keren Macpherson,Fife AC,F50,00:35:36
55,193,Matt Buck,Dundee Road Runners,MS,00:35:49
56,177,Mercè Torres,Fife AC,F40,00:35:57
57,168,Martin Rollo,Dundee Road Runners,M50,00:35:58
58,133,Scott Hutchison,STAART,MS,00:36:06
59,170,Ruth Sharp,Unatt.,FS,00:36:31
60,165,Graham Rena,Dundee Road Runners,M50,00:36:39
61,146,Margaret Martin,Fife AC,F60,00:36:51
